V0	Vf	V_sent	D	dt	triple_id	sample_id
0.240000	0.000000	0.000000	6.800000	0.000000	0.000000	0.000000
0.480000	0.000000	0.000000	20.000000	0.000000	1.000000	0.000000
0.640000	0.000000	0.000000	50.800000	0.000000	2.000000	0.000000
0.880000	0.000000	0.000000	80.000000	0.000000	3.000000	0.000000
1.040000	0.000000	0.000000	134.800000	0.000997	4.000000	0.000000
1.200000	0.000000	0.000000	204.000000	0.000997	5.000000	0.000000
1.440000	0.000000	0.000000	258.800000	0.000997	6.000000	0.000000
1.680000	0.000000	0.000000	320.000000	0.001000	7.000000	0.000000
1.840000	0.000000	0.000000	422.800000	0.000999	8.000000	0.000000
2.080000	0.000000	0.000000	500.000000	0.001001	9.000000	0.000000
2.240000	0.000000	0.000000	626.800000	0.001997	10.000000	0.000000
2.480000	0.000000	0.000000	720.000000	0.001997	11.000000	0.000000
2.640000	0.000000	0.000000	870.800000	0.000993	12.000000	0.000000
2.880000	0.000000	0.000000	980.000000	0.000999	13.000000	0.000000
3.040000	0.000000	0.000000	1154.800000	0.001000	14.000000	0.000000
3.280000	0.000000	0.000000	1280.000000	0.001978	15.000000	0.000000
3.440000	0.000000	0.000000	1478.800000	0.002030	16.000000	0.000000
3.680000	0.000000	0.000000	1620.000000	0.002030	17.000000	0.000000
3.840000	0.000000	0.000000	1842.800000	0.001968	18.000000	0.000000
4.080000	0.000000	0.000000	2000.000000	0.000993	19.000000	0.000000
0.000000	0.160000	0.200000	3.200000	0.000000	20.000000	0.000000
0.480000	0.240000	0.200000	12.800000	0.000000	21.000000	0.000000
0.640000	0.240000	0.200000	43.600000	0.000000	22.000000	0.000000
0.880000	0.240000	0.200000	72.800000	0.001003	23.000000	0.000000
1.040000	0.240000	0.200000	127.600000	0.000000	24.000000	0.000000
1.200000	0.240000	0.200000	196.800000	0.000000	25.000000	0.000000
1.440000	0.240000	0.200000	251.600000	0.000000	26.000000	0.000000
1.680000	0.240000	0.200000	312.800000	0.000000	27.000000	0.000000
1.840000	0.240000	0.200000	415.600000	0.001045	28.000000	0.000000
2.080000	0.240000	0.200000	492.800000	0.001003	29.000000	0.000000
2.240000	0.240000	0.200000	619.600000	0.001000	30.000000	0.000000
2.480000	0.240000	0.200000	712.800000	0.001000	31.000000	0.000000
2.640000	0.240000	0.200000	863.600000	0.003016	32.000000	0.000000
2.880000	0.240000	0.200000	972.800000	0.001002	33.000000	0.000000
3.040000	0.240000	0.200000	1147.600000	0.002001	34.000000	0.000000
3.280000	0.240000	0.200000	1272.800000	0.001001	35.000000	0.000000
3.440000	0.240000	0.200000	1471.600000	0.002011	36.000000	0.000000
3.680000	0.240000	0.200000	1612.800000	0.001997	37.000000	0.000000
3.840000	0.240000	0.200000	1835.600000	0.002030	38.000000	0.000000
4.080000	0.240000	0.200000	1992.800000	0.001964	39.000000	0.000000
0.000000	0.400000	0.400000	20.000000	0.000000	40.000000	0.000000
0.240000	0.400000	0.400000	20.400000	0.000000	41.000000	0.000000
0.640000	0.400000	0.400000	30.800000	0.000000	42.000000	0.000000
0.880000	0.400000	0.400000	60.000000	0.000000	43.000000	0.000000
1.040000	0.400000	0.400000	114.800000	0.000000	44.000000	0.000000
1.200000	0.400000	0.400000	184.000000	0.000000	45.000000	0.000000
1.440000	0.400000	0.400000	238.800000	0.001024	46.000000	0.000000
1.680000	0.400000	0.400000	300.000000	0.001997	47.000000	0.000000
1.840000	0.400000	0.400000	402.800000	0.001001	48.000000	0.000000
2.080000	0.400000	0.400000	480.000000	0.001031	49.000000	0.000000
2.240000	0.400000	0.400000	606.800000	0.001000	50.000000	0.000000
2.480000	0.400000	0.400000	700.000000	0.001025	51.000000	0.000000
2.640000	0.400000	0.400000	850.800000	0.001013	52.000000	0.000000
2.880000	0.400000	0.400000	960.000000	0.001997	53.000000	0.000000
3.040000	0.400000	0.400000	1134.800000	0.001000	54.000000	0.000000
3.280000	0.400000	0.400000	1260.000000	0.002007	55.000000	0.000000
3.440000	0.400000	0.400000	1458.800000	0.001000	56.000000	0.000000
